station,deployment,date,time_in,time_out,zd,dttm,lon,lat,temp,sal,fluor,max_tension,wire_out,bottom_depth,cast_depth,volt0,volt1,volt2,volt3,volt4,volt5,sn,ctd_volt_in,ctd_volt_out,afm_volt_in,afm_volt_out,bottle,depth,depth_std,temp1,temp_std,sal1,sal_std
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,5, 98.8,0.24070561780823774,13.427844444444444,0.010145825633125122,35.048964030459864,0.01304442653305694
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,4, 99.0,0.5212342989908134,13.33698888888889,0.028308631388873438,35.07664018162891,0.01619730750234311
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,3,148.9,0.5339394732655623,12.234155555555557,4.333333333331091e-4,34.97833236702141,8.141251860649238e-4
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,2,198.5,0.40865749038093263,11.62208888888889,0.00681403779789282,34.909623795864746,0.0026471734825189728
S285-012,CTD,2019-04-06,22:47:00,,-13,2019-04-06T22:47+13,-176.3504,-43.1844,17.35,35.153,11.72,585,400,481,385,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13.1,13,12.71,12.75,1,299.0,0.4323122264187224,10.762855555555555,9.043106644167693e-4,34.81321764771146,0.0012663284783292926
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,12,  1.8,0.13884233664284262,18.786233333333335,3.9051248379502913e-4,35.24443050420366,6.96930743771223e-4
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,11,  2.6,0.14275133780264349,18.78697777777778,3.2702361450504756e-4,35.243612042962674,3.924071926502419e-4
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,10, 11.1,0.251474153741493,18.787355555555557,4.0345728123102645e-4,35.244582760129774,4.0511353120764766e-4
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,9, 24.9,0.5880278715994486,18.79541111111111,9.623466688839601e-4,35.24424895377785,6.823269837343678e-4
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,8, 49.6,0.4347788071089842,18.727988888888888,0.0015045301961445388,35.26790818966762,0.0028159899817719017
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,7, 50.3,0.11951998903019435,18.721511111111113,0.0033942762278738347,35.27072323709315,0.0016404084168244169
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,6, 74.4,0.488538637161894,14.948455555555556,0.01727187823537957,35.335213528837976,0.003315856024125274
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,5, 97.8,0.17408147836892734,14.047433333333334,0.0028071337695237133,35.24206726285699,2.398355336637185e-4
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,4, 99.1,0.5922156373409203,14.03571111111111,0.0036077847927935866,35.24160690086922,5.984676747413953e-4
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,3,149.6,0.09271731229926711,13.412455555555555,0.004640611789169729,35.19266339878019,0.0015551836067344386
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,2,198.4,0.37159621903351164,12.751222222222223,0.020633272751661193,35.104969925841964,0.003518187621621583
S285-014,CTD,2019-04-07,22:15:00,,+11,2019-04-07T22:15-11,-176.4111,-39.7459,19.07,35.235, 3.80,982,300,3932,291,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,13,13,12,12.11,1,270.0,0.353616317496797,11.424233333333333,0.008053104991244443,34.90417396866711,9.905902575166865e-4
S285-015,CTD,2019-04-08,10:08:00,,+11,2019-04-08T10:08-11,-175.9403,-39.2239,19.69,35.279, 3.58,,1100,4536,916,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,12.8,12.5,12.06,11.87,12,  1.8,0.2569570867760693,19.481244444444442,6.105553028006345e-4,35.3085540206578,5.655731362811657e-4
S285-015,CTD,2019-04-08,10:08:00,,+11,2019-04-08T10:08-11,-175.9403,-39.2239,19.69,35.279, 3.58,,1100,4536,916,,,Seapoint Chl-a SCF3735,Dissolved O2 3329,PAR 70623,Free,7706,12.8,12.5,12.06,11.87,11,  2.8,0.05998958242895189,19.482644444444446,2.697735676043181e-4,35.308854210351136,2.7640939625229435e-4
